# downloaded from http://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html
# Constituents (Atomic Number : Fraction by Weight)
#  Z=30   : 0.027790
#  Z=48   : 0.430016
#  Z=52   : 0.542194
#  Corresponds to Cd09.Zn0.1Te, density is 5.78 gm/cc
# Photon    Coherent    Incoher.    Photoel.    Nuclear     Electron    Tot. w/     Tot. wo/   
# Energy    Scatter.    Scatter.    Absorb.     Pr. Prd.    Pr. Prd.    Coherent    Coherent   
#  (MeV)    (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)
1.000E-03   7.877E+00   5.067E-03   7.769E+03   0.000E+00   0.000E+00   7.777E+03   7.769E+03
1.000E-03   7.877E+00   5.067E-03   7.769E+03   0.000E+00   0.000E+00   7.777E+03   7.769E+03
1.004E-03   7.874E+00   5.100E-03   7.702E+03   0.000E+00   0.000E+00   7.710E+03   7.702E+03
1.006E-03   7.872E+00   5.116E-03   7.670E+03   0.000E+00   0.000E+00   7.677E+03   7.670E+03
1.006E-03   7.872E+00   5.116E-03   7.861E+03   0.000E+00   0.000E+00   7.869E+03   7.861E+03
1.008E-03   7.871E+00   5.132E-03   7.827E+03   0.000E+00   0.000E+00   7.835E+03   7.827E+03
1.014E-03   7.866E+00   5.180E-03   7.724E+03   0.000E+00   0.000E+00   7.732E+03   7.724E+03
1.020E-03   7.861E+00   5.226E-03   7.628E+03   0.000E+00   0.000E+00   7.636E+03   7.628E+03
1.020E-03   7.861E+00   5.226E-03   7.685E+03   0.000E+00   0.000E+00   7.692E+03   7.685E+03
1.020E-03   7.861E+00   5.229E-03   7.680E+03   0.000E+00   0.000E+00   7.688E+03   7.680E+03
1.031E-03   7.852E+00   5.318E-03   7.535E+03   0.000E+00   0.000E+00   7.543E+03   7.535E+03
1.043E-03   7.843E+00   5.415E-03   7.397E+03   0.000E+00   0.000E+00   7.405E+03   7.397E+03
1.043E-03   7.843E+00   5.415E-03   7.446E+03   0.000E+00   0.000E+00   7.454E+03   7.446E+03
1.043E-03   7.843E+00   5.416E-03   7.443E+03   0.000E+00   0.000E+00   7.451E+03   7.443E+03
1.116E-03   7.785E+00   6.022E-03   6.420E+03   0.000E+00   0.000E+00   6.428E+03   6.420E+03
1.194E-03   7.722E+00   6.681E-03   5.545E+03   0.000E+00   0.000E+00   5.553E+03   5.545E+03
1.194E-03   7.722E+00   6.681E-03   5.574E+03   0.000E+00   0.000E+00   5.582E+03   5.574E+03
1.194E-03   7.721E+00   6.684E-03   5.570E+03   0.000E+00   0.000E+00   5.577E+03   5.570E+03
1.248E-03   7.677E+00   7.149E-03   5.045E+03   0.000E+00   0.000E+00   5.052E+03   5.045E+03
1.305E-03   7.630E+00   7.644E-03   4.565E+03   0.000E+00   0.000E+00   4.573E+03   4.565E+03
1.500E-03   7.461E+00   9.348E-03   3.343E+03   0.000E+00   0.000E+00   3.350E+03   3.343E+03
1.560E-03   7.407E+00   9.870E-03   3.045E+03   0.000E+00   0.000E+00   3.053E+03   3.045E+03
1.694E-03   7.285E+00   1.102E-02   2.503E+03   0.000E+00   0.000E+00   2.510E+03   2.503E+03
1.839E-03   7.150E+00   1.226E-02   2.059E+03   0.000E+00   0.000E+00   2.066E+03   2.059E+03
2.000E-03   7.000E+00   1.362E-02   1.686E+03   0.000E+00   0.000E+00   1.693E+03   1.686E+03
2.484E-03   6.554E+00   1.759E-02   9.860E+02   0.000E+00   0.000E+00   9.926E+02   9.860E+02
2.502E-03   6.538E+00   1.773E-02   9.685E+02   0.000E+00   0.000E+00   9.751E+02   9.685E+02
2.520E-03   6.522E+00   1.788E-02   9.515E+02   0.000E+00   0.000E+00   9.580E+02   9.515E+02
2.553E-03   6.492E+00   1.814E-02   9.213E+02   0.000E+00   0.000E+00   9.279E+02   9.214E+02
2.586E-03   6.462E+00   1.841E-02   8.925E+02   0.000E+00   0.000E+00   8.990E+02   8.925E+02
2.605E-03   6.445E+00   1.856E-02   8.765E+02   0.000E+00   0.000E+00   8.830E+02   8.765E+02
2.625E-03   6.427E+00   1.872E-02   8.601E+02   0.000E+00   0.000E+00   8.665E+02   8.601E+02
2.743E-03   6.323E+00   1.965E-02   7.714E+02   0.000E+00   0.000E+00   7.777E+02   7.714E+02
2.866E-03   6.215E+00   2.060E-02   6.920E+02   0.000E+00   0.000E+00   6.983E+02   6.920E+02
3.000E-03   6.100E+00   2.163E-02   6.180E+02   0.000E+00   0.000E+00   6.241E+02   6.180E+02
3.066E-03   6.043E+00   2.214E-02   5.847E+02   0.000E+00   0.000E+00   5.908E+02   5.847E+02
3.206E-03   5.926E+00   2.319E-02   5.219E+02   0.000E+00   0.000E+00   5.278E+02   5.219E+02
3.351E-03   5.807E+00   2.426E-02   4.663E+02   0.000E+00   0.000E+00   4.721E+02   4.663E+02
3.436E-03   5.738E+00   2.488E-02   4.375E+02   0.000E+00   0.000E+00   4.433E+02   4.375E+02
3.524E-03   5.669E+00   2.551E-02   4.102E+02   0.000E+00   0.000E+00   4.159E+02   4.103E+02
3.537E-03   5.658E+00   2.561E-02   4.063E+02   0.000E+00   0.000E+00   4.119E+02   4.063E+02
3.537E-03   5.658E+00   2.561E-02   7.479E+02   0.000E+00   0.000E+00   7.536E+02   7.480E+02
3.539E-03   5.657E+00   2.562E-02   7.472E+02   0.000E+00   0.000E+00   7.528E+02   7.472E+02
3.554E-03   5.645E+00   2.573E-02   7.393E+02   0.000E+00   0.000E+00   7.450E+02   7.394E+02
3.678E-03   5.549E+00   2.661E-02   6.787E+02   0.000E+00   0.000E+00   6.843E+02   6.787E+02
3.727E-03   5.511E+00   2.695E-02   6.566E+02   0.000E+00   0.000E+00   6.621E+02   6.566E+02
3.727E-03   5.511E+00   2.695E-02   8.183E+02   0.000E+00   0.000E+00   8.238E+02   8.183E+02
